,price,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,amenities_length
6131,2300,120642089,Central & Western,22.285530839230102,114.15337829078187,Other,Entire home/apt,2,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,14
6132,447,16510722,Islands,22.222971577011123,114.1128668331247,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,5,100.0,9.0,0.6,10
6133,1279,137789480,Wan Chai,22.28546525327076,114.19135544459856,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,7,94.0,9.0,0.86,12
6134,1279,137789480,Wan Chai,22.28705988550629,114.18984453603014,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,40.0,8.0,0.57,12
6135,981,137789480,Wan Chai,22.285717932107573,114.19153923713571,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,100.0,10.0,0.31,12
6136,275,107827687,Kowloon City,22.303725437530176,114.1865267523466,Other,Private room,1,1.0,1.0,1.0,Other,50,97.0,10.0,5.86,25
6137,86,150659057,Yuen Long,22.515132077547545,114.07362396061195,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,25,94.0,10.0,2.93,17
6138,667,123664635,Yau Tsim Mong,22.297848209079646,114.17115942524755,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,44,98.0,10.0,5.0,28
6139,377,122131447,Yau Tsim Mong,22.29104549819387,114.17724884705557,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,80.0,10.0,0.31,17
6140,377,122131447,Yau Tsim Mong,22.295530280017548,114.1785743090005,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,1,60.0,10.0,0.15,15
6141,542,122131447,Yau Tsim Mong,22.292871252468057,114.17968437947914,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,3,100.0,10.0,0.41,18
6142,542,122131447,Yau Tsim Mong,22.292752413015783,114.17956317998579,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,0,0.0,0.0,0.0,17
6143,589,155328700,Yau Tsim Mong,22.2959004512292,114.17318139098872,House,Private room,2,1.0,0.0,1.0,Real Bed,0,0.0,0.0,0.0,5
6144,1946,52497507,Central & Western,22.2815529270451,114.1518807884247,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,9,89.0,10.0,1.02,34
6145,1264,121481836,Wan Chai,22.278205185108103,114.18646938139992,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,5,96.0,10.0,0.65,28
6146,377,149898905,Wan Chai,22.27814472957548,114.18319859803705,Other,Private room,2,1.0,1.0,1.0,Real Bed,40,95.0,10.0,6.0,18
6147,903,3285117,Central & Western,22.282272215382037,114.15274293295856,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,7,100.0,10.0,0.82,19
6148,651,153123089,Yau Tsim Mong,22.306111672641997,114.167030911687,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,80.0,10.0,1.0,15
6149,1099,49125021,Central & Western,22.28582769941686,114.15104389873844,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,31,100.0,10.0,3.66,24
6150,377,75158109,Wan Chai,22.27949300453413,114.18962598121875,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5,96.0,10.0,0.62,24
6151,1099,155523548,Wan Chai,22.279864320898103,114.17959223577463,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,28,97.0,10.0,3.75,19
6152,369,86237176,Yau Tsim Mong,22.31975096767624,114.17191611353563,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,59,91.0,10.0,6.73,21
6153,298,25920638,Yuen Long,22.438680148291844,114.03465455369688,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,2,90.0,9.0,0.26,11
6154,400,11738472,Islands,22.223677949147973,114.11420863089631,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,5,96.0,9.0,0.59,10
6155,1797,155381906,Yau Tsim Mong,22.296407028523923,114.1725546509627,Apartment,Entire home/apt,8,1.0,2.0,6.0,Real Bed,35,97.0,10.0,4.1,34
6156,950,155604053,Yau Tsim Mong,22.32387655995927,114.16244013342651,Other,Entire home/apt,3,1.0,1.0,2.0,Real Bed,45,88.0,8.0,5.34,17
6157,730,20247048,Wan Chai,22.274653363350506,114.17057894362087,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,9,96.0,10.0,1.06,23
6158,730,10879318,Islands,22.29874674651012,114.0132799831219,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,20,96.0,9.0,2.67,23
6159,879,87432883,Kowloon City,22.323512206155232,114.19013150331655,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,9,98.0,9.0,1.14,16
6160,950,8931450,Central & Western,22.28918740629076,114.14305652725905,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,4,93.0,10.0,0.61,17
6161,1397,155730198,Yau Tsim Mong,22.31767913245297,114.1589450839418,Other,Entire home/apt,4,1.0,2.0,2.0,Real Bed,15,97.0,10.0,1.76,20
6162,722,88863625,Kowloon City,22.31159576892005,114.18634190959216,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,29,98.0,9.0,3.32,32
6163,1185,29050822,Central & Western,22.28703337150463,114.14096084128329,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5,96.0,10.0,0.76,21
6164,801,88453598,Wan Chai,22.26752035288037,114.18370196423712,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,0.0,0.0,0.12,13
6165,2504,1966274,Yau Tsim Mong,22.308115526541414,114.16965747256872,Apartment,Entire home/apt,16,2.0,3.0,8.0,Real Bed,0,0.0,0.0,0.0,27
6166,722,88863625,Tai Po,22.430375858746785,114.20677127197966,Apartment,Private room,4,1.0,2.0,2.0,Real Bed,14,100.0,10.0,1.63,62
6167,1397,155904436,Wan Chai,22.277622895079013,114.17903062039612,Apartment,Entire home/apt,8,2.0,3.0,4.0,Real Bed,0,0.0,0.0,0.0,14
